Category,Subcategory,Location,Manufacturer Name,Manufacturer Part Number,Item Description,UOM,Price,Volume,
Electrical,Batteries,Roxborough,DURA-CELL BATTERIES,PC1400,DUR PC1400 PROCELL ALKA BATT C 1.5V,EA, 0.64 , 160 ,
Electrical,Batteries,Roxborough,DURA-CELL BATTERIES,PC1300,DUR PC1300 PROCELL ALKA BATT D 1.5V,EA, 0.60 , 102 ,
Electrical Rd 2,Batteries,Roxborough,DURA-CELL BATTERIES,D389/390PK,DUR D389/390PK 1.5V WATCH BATTERY,EA, 0.80 , 14 ,
Electrical,Batteries,Roxborough,ENERGIZER,EN91,EN91 ENERGIZER INDUSTRIAL AA 24/PACK,EA, 0.39 ," 2,965 ",
Electrical,Batteries,Roxborough,ENERGIZER,EN91IC,"BATTERY,AA,ENGZR",EA, 0.28 ," 1,531 ",
Electrical,Batteries,Roxborough,ENERGIZER,EN92,EN92 ENERGIZER INDUSTRIAL AAA 24/PACK,EA, 0.36 , 595 ,
Electrical,Batteries,Roxborough,ENERGIZER,EN22,EN22 ENERGIZER INDUSTRIAL 9V 12/PACK,EA, 1.49 , 132 ,
Electrical,Batteries,Roxborough,ENERGIZER,EN95,EN95 ENERGIZER INDUSTRIAL D 12/PACK,EA, 0.84 , 182 ,
Electrical,Batteries,Roxborough,ENERGIZER,EN92IC24,"BATTERY,AAA,ENGZR",EA, 0.33 , 413 ,
Electrical Rd 2,Batteries,Roxborough,ENERGIZER,E92FP12,"BATTERY,AAA,ENGZR,12/PK",PK, 14.36 , 8 ,
Electrical Rd 2,Batteries,Roxborough,ENERGIZER,1251,T&B 1251 1X3/4 MALL REDUCER,EA, 4.34 , 22 ,
Electrical,Batteries,Roxborough,ENERGIZER,357BP,EV-REDY 357BP 1.5V SILVER BATTERY,EA, 1.04 , 88 ,
Electrical,Batteries,Roxborough,ENERGIZER,ECR2032BP,EV-REDY ECR2032BP 3V LITHIUM BAT,EA, 1.00 , 71 ,
Electrical Rd 2,Batteries,Roxborough,ENERGIZER,357,EV-REDY 357 WATCH/CAL BATTERY,EA, 0.83 , 54 ,
